,wind_speed,storm_surge,central_pressure,eye_diameter,precipitation,visibility,pressure_variation,cyclone_duration,sea_surface_temp,wave_height,ocean_current,humidity,target
wind_speed,1.0,0.029309641948433385,0.014517728238225999,-0.029423862281111064,0.03478454468969661,-0.05944032551105369,0.02726886566893713,-0.025491270812969716,-0.04086979862138244,0.06070213871256871,-0.0057914609993093375,0.02478117025818666,0.08898000602698523
storm_surge,0.029309641948433385,1.0,0.02726235925384124,-0.005790518219848374,0.03291077227033818,0.029994245863680175,0.04232694185995442,0.04996000050562505,0.00327876700408646,-0.06549526110298036,0.008880369473657047,0.020570180031942515,0.536107158511795
central_pressure,0.014517728238225999,0.02726235925384124,1.0,-0.013559927333487634,-0.008858078228852649,-0.02035283165824428,-0.028298716877390228,-0.046775315567035944,-0.005227171010854966,0.013118898889462155,0.07680568020483768,0.06007038492636507,-0.02573637039494151
eye_diameter,-0.029423862281111064,-0.005790518219848374,-0.013559927333487634,1.0,-0.044812113653290846,0.0399593368383527,-0.017132634191520706,-0.022848594138906372,0.025397376171368877,0.004490400447886599,0.043190328887608924,-0.022730361268657268,0.05690545126758947
precipitation,0.03478454468969661,0.03291077227033818,-0.008858078228852649,-0.044812113653290846,1.0,-0.05586413391897001,0.02051080953177514,-0.008889196989377485,0.028328273744818264,0.005122756028379696,-0.057162978850575995,0.02534271373666913,0.1721215530790172
visibility,-0.05944032551105369,0.029994245863680175,-0.02035283165824428,0.0399593368383527,-0.05586413391897001,1.0,0.00798334549482667,0.012288223137480866,-0.031942196354409494,-0.0028033615206964845,-0.05564418659074553,-0.026626421634267938,-0.09066563082496824
pressure_variation,0.02726886566893713,0.04232694185995442,-0.028298716877390228,-0.017132634191520706,0.02051080953177514,0.00798334549482667,1.0,0.03815454353600413,0.0011690290646893774,0.013189946121400219,0.08629362489735569,0.0062635101937013864,0.214530955491643
cyclone_duration,-0.025491270812969716,0.04996000050562505,-0.046775315567035944,-0.022848594138906372,-0.008889196989377485,0.012288223137480866,0.03815454353600413,1.0,-0.0493068864823834,-0.008831285907005817,-0.05189280268728504,0.0027297892752410373,0.09925536944830174
sea_surface_temp,-0.04086979862138244,0.00327876700408646,-0.005227171010854966,0.025397376171368877,0.028328273744818264,-0.031942196354409494,0.0011690290646893774,-0.0493068864823834,1.0,0.017457522009107055,0.0012023215180404123,0.018661124650871174,0.2526960510567098
wave_height,0.06070213871256871,-0.06549526110298036,0.013118898889462155,0.004490400447886599,0.005122756028379696,-0.0028033615206964845,0.013189946121400219,-0.008831285907005817,0.017457522009107055,1.0,-0.03620697205951798,-0.08337604677556319,-0.02034966955040974
ocean_current,-0.0057914609993093375,0.008880369473657047,0.07680568020483768,0.043190328887608924,-0.057162978850575995,-0.05564418659074553,0.08629362489735569,-0.05189280268728504,0.0012023215180404123,-0.03620697205951798,1.0,-0.01567967381622772,0.036390147009202935
humidity,0.02478117025818666,0.020570180031942515,0.06007038492636507,-0.022730361268657268,0.02534271373666913,-0.026626421634267938,0.0062635101937013864,0.0027297892752410373,0.018661124650871174,-0.08337604677556319,-0.01567967381622772,1.0,0.4772095089335926
target,0.08898000602698523,0.536107158511795,-0.02573637039494151,0.05690545126758947,0.1721215530790172,-0.09066563082496824,0.214530955491643,0.09925536944830174,0.2526960510567098,-0.02034966955040974,0.036390147009202935,0.4772095089335926,1.0
