,magnitude,shaking_duration,ground_acceleration,peak_ground_velocity,depth,fault_distance,building_density,liquefaction_index,distance,pop_density,seismic_gap,building_age,target
magnitude,1.0,0.029309641948433354,0.014517728238226165,-0.02942386228111098,0.034784544689696474,-0.059440325511053674,0.02726886566893701,-0.0254912708129697,-0.04086979862138257,0.06070213871256854,-0.005791460999309298,0.024781170258186637,0.5044453301093825
shaking_duration,0.029309641948433354,1.0,0.02726235925384153,-0.00579051821984845,0.032910772270338076,0.02999424586368011,0.04232694185995429,0.049960000505625046,0.003278767004086455,-0.06549526110298036,0.008880369473657144,0.02057018003194251,0.49737247925098754
ground_acceleration,0.014517728238226165,0.02726235925384153,1.0,-0.01355992733348753,-0.008858078228852637,-0.020352831658244423,-0.028298716877390342,-0.0467753155670361,-0.005227171010854853,0.013118898889462258,0.07680568020483769,0.06007038492636526,0.15272181791614245
peak_ground_velocity,-0.02942386228111098,-0.00579051821984845,-0.01355992733348753,1.0,-0.04481211365329072,0.0399593368383527,-0.017132634191520713,-0.022848594138906254,0.02539737617136892,0.004490400447886639,0.04319032888760894,-0.0227303612686573,0.23163618223221774
depth,0.034784544689696474,0.032910772270338076,-0.008858078228852637,-0.04481211365329072,1.0,-0.05586413391896987,0.020510809531775104,-0.008889196989377575,0.028328273744818354,0.005122756028379609,-0.05716297885057585,0.02534271373666904,-0.0729912300881462
fault_distance,-0.059440325511053674,0.02999424586368011,-0.020352831658244423,0.0399593368383527,-0.05586413391896987,1.0,0.007983345494826674,0.012288223137480863,-0.03194219635440951,-0.0028033615206964606,-0.05564418659074558,-0.02662642163426806,-0.1006984268861343
building_density,0.02726886566893701,0.04232694185995429,-0.028298716877390342,-0.017132634191520713,0.020510809531775104,0.007983345494826674,1.0,0.038154543536004115,0.001169029064689353,0.013189946121400157,0.08629362489735551,0.006263510193701259,0.06555021209657377
liquefaction_index,-0.0254912708129697,0.049960000505625046,-0.0467753155670361,-0.022848594138906254,-0.008889196989377575,0.012288223137480863,0.038154543536004115,1.0,-0.049306886482383516,-0.008831285907005874,-0.05189280268728503,0.002729789275240972,0.23878107436136434
distance,-0.04086979862138257,0.003278767004086455,-0.005227171010854853,0.02539737617136892,0.028328273744818354,-0.03194219635440951,0.001169029064689353,-0.049306886482383516,1.0,0.017457522009107034,0.001202321518040419,0.01866112465087108,-0.14781414231170195
pop_density,0.06070213871256854,-0.06549526110298036,0.013118898889462258,0.004490400447886639,0.005122756028379609,-0.0028033615206964606,0.013189946121400157,-0.008831285907005874,0.017457522009107034,1.0,-0.03620697205951792,-0.08337604677556336,0.06694422918500852
seismic_gap,-0.005791460999309298,0.008880369473657144,0.07680568020483769,0.04319032888760894,-0.05716297885057585,-0.05564418659074558,0.08629362489735551,-0.05189280268728503,0.001202321518040419,-0.03620697205951792,1.0,-0.01567967381622768,0.10680298250533057
building_age,0.024781170258186637,0.02057018003194251,0.06007038492636526,-0.0227303612686573,0.02534271373666904,-0.02662642163426806,0.006263510193701259,0.002729789275240972,0.01866112465087108,-0.08337604677556336,-0.01567967381622768,1.0,0.07942552510527791
target,0.5044453301093825,0.49737247925098754,0.15272181791614245,0.23163618223221774,-0.0729912300881462,-0.1006984268861343,0.06555021209657377,0.23878107436136434,-0.14781414231170195,0.06694422918500852,0.10680298250533057,0.07942552510527791,1.0
