,rainfall,land_slope,drainage_efficiency,urbanization_rate,river_level,soil_saturation,impervious_area,catchment_area,flood_duration,water_retention,vegetation_index,soil_type_index,target
rainfall,1.0,0.02930964194843335,0.014517728238226151,-0.029423862281111043,0.034784544689696564,-0.05944032551105362,0.027268865668937093,-0.025491270812969608,-0.0408697986213825,0.06070213871256861,-0.005791460999309301,0.024781170258186623,0.2605884708043202
land_slope,0.02930964194843335,1.0,0.027262359253841507,-0.005790518219848405,0.0329107722703381,0.029994245863680102,0.0423269418599544,0.049960000505625095,0.0032787670040865845,-0.06549526110298017,0.008880369473657067,0.0205701800319427,-0.0383130956302262
drainage_efficiency,0.014517728238226151,0.027262359253841507,1.0,-0.013559927333487534,-0.008858078228852692,-0.020352831658244423,-0.028298716877390356,-0.04677531556703596,-0.005227171010854861,0.013118898889462282,0.07680568020483773,0.06007038492636529,0.4602060046766021
urbanization_rate,-0.029423862281111043,-0.005790518219848405,-0.013559927333487534,1.0,-0.04481211365329084,0.0399593368383527,-0.017132634191520706,-0.022848594138906386,0.02539737617136885,0.004490400447886611,0.04319032888760887,-0.02273036126865723,0.07823278142276882
river_level,0.034784544689696564,0.0329107722703381,-0.008858078228852692,-0.04481211365329084,1.0,-0.055864133918970035,0.02051080953177513,-0.008889196989377528,0.0283282737448183,0.005122756028379681,-0.057162978850575905,0.025342713736669072,0.18481551334771684
soil_saturation,-0.05944032551105362,0.029994245863680102,-0.020352831658244423,0.0399593368383527,-0.055864133918970035,1.0,0.007983345494826669,0.012288223137480852,-0.03194219635440957,-0.0028033615206965283,-0.055644186590745645,-0.02662642163426814,0.19445075072417223
impervious_area,0.027268865668937093,0.0423269418599544,-0.028298716877390356,-0.017132634191520706,0.02051080953177513,0.007983345494826669,1.0,0.038154543536004185,0.001169029064689379,0.013189946121400193,0.08629362489735547,0.006263510193701392,0.1759196195262196
catchment_area,-0.025491270812969608,0.049960000505625095,-0.04677531556703596,-0.022848594138906386,-0.008889196989377528,0.012288223137480852,0.038154543536004185,1.0,-0.04930688648238347,-0.00883128590700572,-0.051892802687285064,0.0027297892752411205,-0.10286186082594602
flood_duration,-0.0408697986213825,0.0032787670040865845,-0.005227171010854861,0.02539737617136885,0.0283282737448183,-0.03194219635440957,0.001169029064689379,-0.04930688648238347,1.0,0.017457522009107114,0.0012023215180404863,0.01866112465087118,0.21916628222893728
water_retention,0.06070213871256861,-0.06549526110298017,0.013118898889462282,0.004490400447886611,0.005122756028379681,-0.0028033615206965283,0.013189946121400193,-0.00883128590700572,0.017457522009107114,1.0,-0.03620697205951808,-0.08337604677556322,0.05383550203100832
vegetation_index,-0.005791460999309301,0.008880369473657067,0.07680568020483773,0.04319032888760887,-0.057162978850575905,-0.055644186590745645,0.08629362489735547,-0.051892802687285064,0.0012023215180404863,-0.03620697205951808,1.0,-0.01567967381622773,0.26051414253932587
soil_type_index,0.024781170258186623,0.0205701800319427,0.06007038492636529,-0.02273036126865723,0.025342713736669072,-0.02662642163426814,0.006263510193701392,0.0027297892752411205,0.01866112465087118,-0.08337604677556322,-0.01567967381622773,1.0,0.36847920425452313
target,0.2605884708043202,-0.0383130956302262,0.4602060046766021,0.07823278142276882,0.18481551334771684,0.19445075072417223,0.1759196195262196,-0.10286186082594602,0.21916628222893728,0.05383550203100832,0.26051414253932587,0.36847920425452313,1.0
