,temperature,humidity,wind_speed,vegetation_density,fuel_moisture,drought_index,precipitation,air_quality,land_slope,ignition_sources,target
temperature,1.0,0.029309641948433218,0.014517728238226207,-0.029423862281111084,0.03478454468969653,-0.05944032551105353,0.0272688656689372,-0.025491270812969785,-0.0408697986213826,0.062110830115496604,0.12098368903329577
humidity,0.029309641948433218,1.0,0.02726235925384153,-0.005790518219848388,0.03291077227033815,0.029994245863680134,0.04232694185995441,0.04996000050562491,0.0032787670040865333,-0.06287656384004207,-0.33941138459773984
wind_speed,0.014517728238226207,0.02726235925384153,1.0,-0.013559927333487529,-0.008858078228852713,-0.020352831658244402,-0.028298716877390315,-0.046775315567035985,-0.005227171010854815,0.01062854203539591,0.2858793990114823
vegetation_density,-0.029423862281111084,-0.005790518219848388,-0.013559927333487529,1.0,-0.044812113653290846,0.039959336838352545,-0.017132634191520724,-0.022848594138906348,0.025397376171368873,0.03986080364690519,0.21298854945383203
fuel_moisture,0.03478454468969653,0.03291077227033815,-0.008858078228852713,-0.044812113653290846,1.0,-0.055864133918969966,0.020510809531775122,-0.008889196989377462,0.028328273744818323,0.03237297825875056,-0.2461065421773514
drought_index,-0.05944032551105353,0.029994245863680134,-0.020352831658244402,0.039959336838352545,-0.055864133918969966,1.0,0.007983345494826653,0.012288223137480918,-0.03194219635440952,0.002588577935501828,0.5132163016340735
precipitation,0.0272688656689372,0.04232694185995441,-0.028298716877390315,-0.017132634191520724,0.020510809531775122,0.007983345494826653,1.0,0.03815454353600416,0.0011690290646893245,0.0007858640974755401,-0.04441836457166712
air_quality,-0.025491270812969785,0.04996000050562491,-0.046775315567035985,-0.022848594138906348,-0.008889196989377462,0.012288223137480918,0.03815454353600416,1.0,-0.04930688648238339,-0.0048565917048749505,0.09060630902435014
land_slope,-0.0408697986213826,0.0032787670040865333,-0.005227171010854815,0.025397376171368873,0.028328273744818323,-0.03194219635440952,0.0011690290646893245,-0.04930688648238339,1.0,0.037109557651470754,-0.14785295300003307
ignition_sources,0.062110830115496604,-0.06287656384004207,0.01062854203539591,0.03986080364690519,0.03237297825875056,0.002588577935501828,0.0007858640974755401,-0.0048565917048749505,0.037109557651470754,1.0,0.2114540472044982
target,0.12098368903329577,-0.33941138459773984,0.2858793990114823,0.21298854945383203,-0.2461065421773514,0.5132163016340735,-0.04441836457166712,0.09060630902435014,-0.14785295300003307,0.2114540472044982,1.0
